name,street,city,state,zip,phone,website,description,source_url
Glass Box,416 W Franklin St,Chapel Hill,NC,27516,(917) 691-5811,https://www.glassboxshop.com/,,https://www.downtownchapelhill.com/shops
High Life,316 W Franklin St,Chapel Hill,NC,27516,(919) 967-3666,https://www.facebook.com/p/High-Life-Chapel-Hill-100047283969293/,,https://www.downtownchapelhill.com/shops
Hill's Family Asian Market,601 W Rosemary St #112,Chapel Hill,NC,27516,(919) 593-2392,https://www.facebook.com/profile.php?id=100057493147816#,,https://www.downtownchapelhill.com/shops
Johnny T-Shirt,128 E Franklin St,Chapel Hill,NC,27514,(919) 967-5646,https://www.johnnytshirt.com/,,https://www.downtownchapelhill.com/shops
Julian’s,80 years on Franklin Street,Chapel Hill,NC,27514,(919) 942-4563,https://julianstyle.com/,Designed by us and exclusively ours. Knitted from super-soft pure Peruvian Pima Cotton for a comfortable feel and fit. A modern take on a classic Argyle .,https://www.downtownchapelhill.com/shops
Key Food Mart,325 W Rosemary St,Chapel Hill,NC,27516,(919) 942-1385,https://www.yelp.com/biz/key-food-mart-chapel-hill,,https://www.downtownchapelhill.com/shops
King Tobacco and Vape,400 W Rosemary St Suite 1005,Chapel Hill,NC,27516,(919) 931-0155,https://www.yelp.com/biz/king-tobacco-and-vape-and-hookah-raleigh,,https://www.downtownchapelhill.com/shops
Light Years Jewelry Shop,121 E Franklin St,Chapel Hill,NC,27514,(919) 942-9265,https://www.lightyearsjewelry.com/,"Low to the ground, long on charm. These Basset Hounds socks celebrate everyone’s favorite floppy-eared icon in all their glory—full body, soulful e...",https://www.downtownchapelhill.com/shops
Maxx Tobacco & Vapor,5621 Atlantic Ave Unit 107,Chapel Hill,NC,27516,(910) 333-3374,https://maxxtobaccovapor.com/,"With 21 locations across North Carolina and the largest smoke shop in the state, we are your trusted source for premium smoking products. We partner with multiple distributors to bring you the finest selection available. Our team has proudly represented our brand at business events and exhibitions nationwide, from the East Coast to the West Coast and throughout the South. Explore our extensive off",https://www.downtownchapelhill.com/shops
Morehead Planetarium and Science Center,250 E Franklin St,Chapel Hill,NC,27514,(919) 962-1236,https://moreheadplanetarium.org/,"This website uses cookies and similar technologies to understand visitor experiences. By using this website, you consent to UNC-Chapel Hill's cookie usage in accordance with their Privacy Notice . I Accept",https://www.downtownchapelhill.com/shops
Oneoneone Gallery,601 W Rosemary St UNIT 111,Chapel Hill,NC,27516,(919) 929-0299,https://www.oneoneone.gallery/,"Oneoneone Recent Works + Silk Paintings Catalina Arocena February 3 - March 28, 2026 Afternoon with the Artist Event Saturday, March 7 2 - 4pm More information",https://www.downtownchapelhill.com/shops
Rumors Boutique,Dr. Martens Leona Black Leather Chunky Heel Ankle Boots Size 7 $60.00,Chapel Hill,NC,27516,(919) 942-2335,http://www.shopatrumors.com/,"By recreating looks from 90s-y2k fashion trends that pioneered within the black communities that were once frowned upon by society, the aim is to reclaim the title and spread awareness as the blueprint. Garnering 5.5 Million Views on TikTok (so far) - this is just a beginning of an iconic era for Statement Modelz.",https://www.downtownchapelhill.com/shops
Shrunken Head Boutique,155 E Franklin St,Chapel Hill,NC,27514,(919) 942-7544,https://shrunkenhead.com/,North Carolina Tar Heels and Chapel Hill themed drinkware including gift favorites...,https://www.downtownchapelhill.com/shops
Simply Audrey,452 W Franklin St,Chapel Hill,NC,27516,(919) 933-4007,https://www.simplyaudrey.com/,"As I step into a new entrepreneurial chapter, I’ve made the difficult decision to officially close my boutique. This was not an easy choice, but one that comes with excitement for what’s ahead. While this chapter is coming to a close, my love for beautiful, curated designer pieces continues. I’ll still be sharing and selling select finds on Instagram at @sips.trips.outfits, and I would absolutely ",https://www.downtownchapelhill.com/shops
Smoke Rings Smoke Shop,418 W Franklin St,Chapel Hill,NC,27516,(919) 537-8245,https://www.yelp.com/biz/smoke-rings-smoke-shop-chapel-hill,,https://www.downtownchapelhill.com/shops
Tar Heel Station,167 E Franklin St,Chapel Hill,NC,27514,(919) 537-8602,https://www.loc8nearme.com/north-carolina/chapel-hill/franklin-street-market/2345621/,"The employees at this establishment are a godsend! From the open front door to the employees compassion, this place is everything you want from your local convenience store. And of course, they have everything you need.",https://www.downtownchapelhill.com/shops
Tar Heel Team Store,120 E Franklin St,Chapel Hill,NC,27514,(919) 275-0120,https://shop.goheels.com/north-carolina-tar-heels/o-27+t-90547273+z-973011-3093903583?_s=gppc&utm_campaign=NCAA+-+North+Carolina+Tar+Heels+-+Brand+-+US+-+EN%7C14859014338&utm_medium=ppc&ks_id=6248_kw50816711&utm_term=tar%20heels%20team%20store&matchtype=e&utm_source=g&target=kwd-634370046929&pcrid=549923926537&adposition=&gad_source=1&gclid=CjwKCAiA3Na5BhAZEiwAzrfagBxnJ3YreBFUlfeeN412ZXN6r2qcvRxtALA1MnaeuonUTN6uXDnmaRoC55kQAvD_BwE,,https://www.downtownchapelhill.com/shops
Target,Target Circle™ Target Circle™ Card Target Circle 360™ Registry & Wish List Weekly Ad Find Stores,Chapel Hill,NC,27516,(919) 929-1616,https://www.target.com/sl/unc-franklin-st/3241,"* See details. Restrictions and terms apply. Pricing, promotions, and availability may vary by location and at Target.com",https://www.downtownchapelhill.com/shops
The Bicycle Chain,"210 W Franklin St Chapel Hill , NC 27516",Chapel Hill,NC,27516,(919) 929-0213,https://www.thebicyclechain.com/about/bicycle-chain-chapel-hill-pg610.htm,"Find your dream bike today and visit us for a test ride. We'll ensure that you're on the right bike to meet your needs and the right frame size for a comfortable, safe cycling experience.",https://www.downtownchapelhill.com/shops
The Gathering Place,157 E Rosemary St 2nd Floor,Chapel Hill,NC,27514,(984) 999-4548,https://thegatheringplacegames.com/,"Premodern MTG is a community-driven format consisting of the sets from Fourth Edition to Scourge. Classic, old frame cards printed between 1995 and 2003, which were standard legal at some point during this period. See the list of all legal sets here , check out the entire Premodern card pool here . Folks have been playing a lot of Premodern in the Triangle recently, and it’s been getting traction ",https://www.downtownchapelhill.com/shops
The Hemp Store,115 E Franklin St,Chapel Hill,NC,27514,(919) 240-4887,https://www.thehempstorenc.com/,"At The Hemp Store, we prioritize safety and quality above all. For this reason, each and every product we carry is full panel tested to ensure both safety and quality.",https://www.downtownchapelhill.com/shops
Tienda Hispana La Potosina,407 W Rosemary St,Chapel Hill,NC,27516,(919) 968-0133,https://www.yelp.com/biz/tienda-hispana-la-potosina-chapel-hill,,https://www.downtownchapelhill.com/shops
Underground Printing,133 E Franklin St,Chapel Hill,NC,27514,(800) 242-4787,https://undergroundshirts.com/pages/custom-t-shirt-printing-chapel-hill-nc,"Represent Carolina Blue with our exclusive collection of officially licensed University of North Carolina fan gear, including authentic t-shirts, sweatshirts, hoodies, and more! Whether you're supporting UNC Football, Basketball, or Baseball, we offer a wide selection of apparel for every sport and Tar Heels fan. Discover the latest North Carolina Tar Heels ACC apparel and merchandise at UGP Campu",https://www.downtownchapelhill.com/shops
Uniquities,452 W Franklin St,Chapel Hill,NC,27516,(919) 933-4007,https://uniquities.com/,"Elevated brands rewrite the rules—these are pieces meant to earn their spot, not gather dust. Forget disposable fast fashion and closet clutter; every garment is designed to work overtime, outlast trends, and take the place of three forgettable blouses. Own what moves, breathes, and sticks around: one versatile investment means less waste, more style, and a closet that finally works for your life,",https://www.downtownchapelhill.com/shops
University Florist,107 NORTH ROBERSON STREET,Chapel Hill,NC,27516,(919) 929-1119,https://universityflorist.com/,"Stay up to date on the latest product releases, special offers & news by signing up for our newsletter.",https://www.downtownchapelhill.com/shops
